clave,texto_español
"quote.other","Más"
"quote.fields.companyName","Nombre de la empresa"
"quote.fields.isPrivate","Soy un particular"
"quote.fields.name","Nombre y apellidos"
"quote.fields.email","Correo electrónico"
"quote.fields.phone","Número de teléfono"
"quote.fields.city","Ciudad"
"quote.fields.zip","Código Postal"
"quote.fields.address","Dirección"
"quote.fields.originCountry","País de salida"
"quote.fields.originOther","Especifique el país"
"quote.fields.originCity","Ciudad de retiro"
"quote.fields.originZip","Código postal"
"quote.fields.originAddress","Dirección de recogida"
"quote.fields.destinationCountry","País de destino"
"quote.fields.destinationOther","Especifique el país de destino"
"quote.fields.dangerousGoods","El transporte incluye mercancías peligrosas"
"quote.fields.goodsClass","Clase de mercancía (ADR)"
"quote.fields.estimatedWeight","Peso estimado (kg)"
"quote.fields.estimatedVolume","Volumen estimado (m³)"
"quote.fields.details","Descripción o detalles adicionales"
"quote.fields.consent","Autorizo el tratamiento de mis datos (obligatorio, véase la política de privacidad aquí)"
"quote.privacyLink","Política de privacidad"
"quote.placeholders.company","Nombre de la empresa"
"quote.placeholders.transport","Por ejemplo, grupaje, completo, contenedor, etc."
"quote.placeholders.details","Introduzca aquí los datos de su envío..."
"quote.placeholders.otherCountry","Especifique el país"
"quote.placeholders.address","Calle / número"
"quote.placeholders.city","Ciudad"
"quote.placeholders.zip","Código Postal"
"quote.submit","Enviar solicitud de cotización"
"quote.sending","Enviando..."
"quote.success","¡Solicitud enviada con éxito! En breve nos pondremos en contacto con usted."
"quote.error","Error al enviar. Vuelva a intentarlo más tarde."
"quote.errors.noConsent","Debe dar su consentimiento al tratamiento de sus datos para poder continuar."
"quote.intro","Desde 1985 somos líderes en el transporte entre Europa y el Magreb, principalmente Túnez, Argelia y Marruecos, así como muchos otros destinos, prestando servicio a más de 60 países de todo el mundo cada año."
"quote.features[0]","Tarifas claras y sin sorpresas"
"quote.features[1]","Oficinas locales en Túnez, Argelia, Italia, España y Francia"
"quote.features[2]","Grupaje, FCL y Project Cargo"
"quote.features[3]","Elección de cobertura de seguro, incluido Todo Riesgo"
"quote.features[4]","Más de 35 años de experiencia"
"quote.cta.quote","Solicita una cotización"
"quote.cta.call","Llama ahora"
"footer.legal.title","Legal"
"footer.legal.company","Bongiorno Srl - IVA 10408830155"
"footer.legal.details","Dirección: Via Marsala, 40 - 21013 Gallarate (Varese)"
"footer.links.title","Enlaces útiles"
"footer.links.destinations","Destinos"
"footer.links.workwithus","Trabaja con nosotros"
"footer.links.about","Quiénes somos"
"footer.links.privacy","Privacidad"
"footer.links.contacts","Contactos"
"footer.contact.title","Contactos"
"footer.contact.email","bongiorno@bongiornosrl.com"
"footer.contact.phone","+39 0331 776 334"
"footer.contact.address","Via Marsala, 40 - 21013 Gallarate (VA)"
"footer.rights","Todos los derechos reservados."
"services.title","Servicios"
"services.intro","Gracias a nuestra experiencia y presencia directa en los principales países mediterráneos, ofrecemos una gama completa de servicios de transporte internacional y logística diseñados para garantizar puntualidad, seguridad y comodidad."
"services.cards[0].icon","Package"
"services.cards[0].title","Transporte de grupaje"
"services.cards[0].href","#Grupo"
"services.cards[0].text","Para la industria, el comercio y las grandes obras hemos creado servicios que ofrecen al transporte los mejores rendimientos y condiciones. Para que tus mercancías lleguen siempre a tiempo."
"services.cards[1].icon","Truck"
"services.cards[1].title","Transportes completos"
"services.cards[1].href","#completo"
"services.cards[1].text","Rapidez en frecuencias y tiempos de tránsito, disponibilidad de espacio a bordo de barcos y gran variedad de contenedores en los principales puertos del Magreb."
"services.cards[2].icon","Cog"
"services.cards[2].title","Transporte excepcional y Projet Cargo"
"services.cards[2].href","#excepcional"
"services.cards[2].text","Transporte que requiere alta especialización y estudio cuidadoso de rutas, normativas, características de mercancías y territorios."
"services.cards[3].icon","ShieldCheck"
"services.cards[3].title","Seguro a todo riesgo"
"services.cards[3].href","#seguros"
"services.cards[3].text","Para no dejar nada al azar. Una póliza de seguro bajo petición que protege contra cualquier riesgo durante el transporte."
"services.details[0].id","agrupamiento"
"services.details[0].icon","Package"
"services.details[0].title","Transporte de grupaje"
"services.details[0].paragraphs[0]","Una amplia red de operadores de carreteras que cubre todo el territorio europeo garantiza que las mercancías lleguen a nuestros centros de recogida en el menor tiempo posible y con las mejores garantías de calidad."
"services.details[0].paragraphs[1]","Disponemos de modernas áreas logísticas equipadas con vehículos y personal altamente eficientes y equipadas con modernos sistemas de seguridad, listas para adaptarse a las más diversas necesidades."
"services.details[0].paragraphs[2]","Gestionamos, como operadores OEA en Italia, las operaciones aduaneras directamente en los centros de recogida, con nuestro personal y con dinámica en tiempo real. Somos conscientes de la importancia de cada documento."
"services.details[0].paragraphs[3]","La regularidad y frecuencia de nuestros servicios, con la posibilidad de llegar también a puertos secundarios del Magreb, nos permite ofrecer a los clientes una variedad de servicios única en estos mercados."
"services.details[0].paragraphs[4]","Elije Bongiorno para un servicio de transporte que supere sus expectativas y le acompañe donde lo necesite. Contáctanos para descubrir cómo podemos ayudarlo a optimizar us envíos y llegar a nuevos mercados con confianza. ¡Nuestra experiencia y dedicación estarán siempre a tu lado!"
"services.details[1].id","trajes"
"services.details[1].icon","Truck"
"services.details[1].title","Transportes completos"
"services.details[1].paragraphs[0]","Somos conscientes de que el éxito de una expedición depende de muchas variables y nuestra especialización en este campo nos convierte en el socio ideal para afrontar cualquier eventualidad."
"services.details[1].paragraphs[1]","Atención al detalle, desde la elección del transportista marítimo ideal según el mercado hasta la confiabilidad de los servicios y la disponibilidad de equipos. Nada se deja al azar."
"services.details[1].paragraphs[2]","Hemos dedicado grandes recursos para intentar gestionar de una manera cada vez más eficiente todos los componentes que dotan a nuestro transporte de la máxima fiabilidad."
"services.details[1].paragraphs[3]","Entonces, si estás buscando un servicio de transporte de contenedores o remolques completos confiable y eficiente, estamos aquí para ayudarte. Para transportar tus mercancías de forma rápida y segura."
"services.details[2].id","excepcional"
"services.details[2].icon","Cog"
"services.details[2].title","Transporte excepcional y Project Cargo"
"services.details[2].paragraphs[0]"," Un tipo de transporte que requiere no sólo un profundo conocimiento, sino también un estudio detenido de las rutas, normativas, características de las mercancías y los territorios en los que se realizan los envíos. Considerar todas las eventualidades para asegurarse de que los obstáculos técnicos o burocráticos no afecten el resultado."
"services.details[2].paragraphs[1]","Elegir los socios terrestres y marítimos más fiables y adecuados para los países que se desean cruzar. Las garantías que ofrecemos a los clientes en estos delicados transportes. Entregar con seguridad los bienes que nos han sido confiados."
"services.details[3].id","seguro"
"services.details[3].icon","ShieldCheck"
"services.details[3].title","Seguro a todo riesgo"
"services.details[3].paragraphs[0]","Consideramos que la cobertura “Todo Riesgo” es una herramienta de enorme importancia. Una garantía que permite protegerse de todos aquellos elementos de riesgo que pudieran presentarse durante el transporte."
"services.details[3].paragraphs[1]","Por estos motivos contamos con una póliza de fiabilidad contrastada que ponemos a disposición de los clientes que así lo soliciten expresamente."
"ctaBanner.cta_main","Nuestra presencia estable y duradera en el territorio nos convierte en un socio sólido capaz de resolver con rapidez cualquier imprevisto, ofreciendo rapidez, seguridad y garantía en todos los mercados en los que operamos."
"ctaBanner.claim","Esto, combinado con nuestro personal altamente experimentado y competente, nos permite ofrecer la máxima rapidez, seguridad y protección en todos los mercados en los que operamos gracias a nuestras estrictas normas de funcionamiento."
"ctaBanner.cta.ctacontatti","Contáctanos"
"ctaBanner.cta.hrefcontatti","/contactos"
"ctaBanner.cta.ctaservizi","Más información sobre los servicios"
"ctaBanner.cta.hrefservizi","/servicios"
"ctaBanner.cta.contattaci","Llame o escriba y le pondremos en contacto con nuestro comercial más adecuado."
"ctaBanner.cta.parliamo","Hablamos italiano, francés, español, inglés y alemán "
"ctaBanner.cta.quote","Solicitar una cotización"
"about.hero.title","Quiénes somos"
"about.hero.subtitle","Llevamos gestionando el transporte internacional desde 1985, garantizando eficacia y fiabilidad."
"about.hero.alt","Sede y logística Bongiorno"
"about.counters.transports_prefix","Más allá de"
"about.counters.transports_label","transportes al año"
"about.counters.years_prefix","Activo desde"
"about.counters.years_label","años"
"about.counters.employees_prefix","Más de"
"about.counters.employees_label","empleados en 5 países"
"about.text1","En 1985, en Gallarate, comenzó la historia de nuestra empresa, fruto de una gran intuición de nuestro fundador y Presidente: leer en Túnez el gran potencial y las afinidades que nos unen e invertir en ellas."
"about.text2","Desde el inicio de nuestra actividad, hemos seguido una política de especialización, dedicando todos nuestros recursos técnicos y humanos precisamente al mercado tunecino y, en una segunda fase, a todo el Magreb."
"about.text3","Esta particularidad ha permitido a nuestra organización consolidarse en los mercados norteafricanos hasta el punto de convertirse en un transportista de referencia para los envíos en esta región. Sin perder nunca de vista las necesidades reales de exportadores e importadores y adaptándonos a las realidades cambiantes de los países y mercados tanto de destino como de salida de las mercancías."
"about.text4","Tras la consolidación de nuestras líneas, pensamos que nuestra visión del transporte también debía traspasar esos límites y que ello no nos haría perder nuestra identidad, sino que, por el contrario, la enriquecería."
"about.text5","La dimensión internacional de nuestros transportes es ahora reconocida a diario por nuestros clientes que, cada vez con mayor frecuencia, nos confían la gestión de sus envíos por todo el mundo."
"about.subtitle","Nuestra historia"
"about.sede","Sede de Bongiorno en Gallarate, Via Marsala 40, sede de la empresa."
"contact.title","Contáctanos"
"contact.address.label","Dirección"
"contact.address.value","Via Marsala 40, Gallarate, Varese, 21013 Italia"
"contact.email.label","Correo electrónico"
"contact.email.value","bongiorno@bongiornosrl.com"
"contact.phone.label","Teléfono"
"contact.phone.value","+39 0331 776 334"
"contact.form.title","Escríbenos un mensaje"
"contact.form.name","Nombre"
"contact.form.email","Correo electrónico"
"contact.form.message","Mensaje"
"contact.form.submit","Enviar"
"contact.form.sending","Enviando..."
"contact.form.success","Mensaje enviado."
"contact.form.consent","Autorizo el tratamiento de mis datos (obligatorio, véase la política de privacidad aquí)"
"contact.form.noConsent","Debe dar su consentimiento al tratamiento de sus datos para poder continuar."
